shape,dtype,config,latency_us,status
"(8, 4, 8, 64)",float16,"(8, 4, 8, 64)",2.6354,OK
"(8, 4, 8, 128)",float16,"(8, 4, 8, 128)",2.0281,OK
"(8, 4, 2048, 8)",float16,"(8, 4, 256, 8)",4.4314,OK
"(8, 4, 8, 127)",float16,"(8, 4, 8, 127)",2.0300,OK
"(16, 8, 16, 255)",float16,"(16, 8, 16, 255)",ERROR,ERROR
"(8, 4, 8, 64)",float32,"(8, 4, 8, 64)",2.0140,OK
"(8, 4, 8, 128)",float32,"(8, 4, 8, 128)",2.8261,OK
"(8, 4, 2048, 8)",float32,"(8, 4, 256, 8)",ERROR,ERROR
"(8, 4, 8, 127)",float32,"(8, 4, 8, 127)",2.8394,OK
"(16, 8, 16, 255)",float32,"(16, 8, 16, 255)",ERROR,ERROR
